,action_date_fiscal_year,base_and_exercised_options_value,federal_action_obligation,base_and_all_options_value,action_date
499,2009,10386.0,10386.0,106368.0,2009-04-02
500,2009,35147.31,35147.31,35147.31,2009-09-04
501,2009,38635.0,38635.0,38635.0,2009-09-03
502,2009,32291.63,32291.63,32291.63,2009-09-29
503,2009,120372.48,120372.48,120372.48,2009-09-01
504,2009,654718.4,122460.8,654718.4,2009-09-28
505,2009,4220.94,4220.94,4220.94,2009-03-31
506,2009,6791410.17,6791410.17,6791410.17,2009-09-09
507,2009,234750.0,234750.0,234750.0,2009-02-18
508,2009,900800.0,900800.0,3615680.0,2009-08-31
509,2009,7489.44,7489.44,7489.44,2009-09-11
510,2009,6049.84,6049.84,6049.84,2009-01-09
511,2009,8074.84,8074.84,8074.84,2009-09-10
512,2009,49987.0,49987.0,265379.17,2009-09-30
513,2009,4362.94,4362.94,4362.94,2009-05-19
514,2009,38489.78,38489.78,38489.78,2009-09-07
515,2009,263175.0,263175.0,985519.0,2009-07-17
516,2009,15085.0,15085.0,15085.0,2009-07-16
517,2009,57379.86,57379.86,57379.86,2009-08-31
518,2009,129301.5,129301.5,129301.5,2009-08-11
519,2009,5610.69,5610.69,5610.69,2009-04-21
520,2009,240609.0,240609.0,0.0,2009-01-26
521,2009,6200.0,6200.0,6200.0,2009-01-05
522,2009,161376.0,161376.0,161376.0,2009-06-01
523,2009,17268.0,17268.0,17268.0,2009-01-15
524,2009,182017.57,182017.57,182017.57,2009-09-08
525,2009,8597.03,8597.03,8597.03,2009-06-09
526,2009,330840.56,330840.56,1022612.8,2009-03-31
527,2009,4849.53,4849.53,4849.53,2009-02-18
528,2009,41874.55,41874.55,41874.55,2009-09-28
529,2009,181398.74,181398.74,181398.74,2009-04-01
530,2009,64654.0,0.0,64654.0,2009-09-16
531,2009,11741.32,11741.32,11741.32,2009-08-31
532,2009,16511.23,16511.23,16511.23,2009-09-03
533,2009,291353.31,291353.31,291353.31,2009-07-18
534,2009,125678.49,125678.49,125678.49,2009-09-29
535,2009,6012.89,6012.89,6012.89,2009-02-10
536,2009,46025.0,46025.0,46025.0,2009-04-03
537,2009,43191.34,43191.34,43191.34,2009-03-11
538,2009,4663.51,4663.51,4663.51,2009-09-19
539,2009,19033.96,19033.96,19033.96,2009-05-08
540,2009,824185.26,824185.26,824185.26,2009-09-29
541,2009,10031.37,10031.37,10031.37,2009-07-14
542,2009,5870.9,0.0,5870.9,2009-09-21
543,2009,497356.92,497356.92,497356.92,2009-01-29
