,action_date_fiscal_year,base_and_exercised_options_value,federal_action_obligation,base_and_all_options_value,action_date
279,2009,3337.24,3337.24,3337.24,2009-09-01
280,2009,173820.0,173820.0,173820.0,2009-01-27
281,2009,3775.0,3775.0,3775.0,2009-01-23
282,2009,1885.0,1885.0,1885.0,2009-02-23
283,2009,38053.33,38053.33,38053.33,2009-06-16
284,2009,63900.97,63900.97,63900.97,2009-05-08
285,2009,377.0,377.0,377.0,2009-07-31
286,2009,175884.35,175884.35,175884.35,2009-09-18
287,2009,2999.5,2999.5,2999.5,2009-06-08
288,2009,1168224.3,1168224.3,1168224.3,2009-04-21
289,2009,3775.0,3775.0,3775.0,2009-03-20
290,2009,3775.0,3775.0,3775.0,2009-05-25
291,2009,219975.89,219975.89,219975.89,2009-09-25
292,2009,407337.0,407337.0,407337.0,2009-09-15
293,2009,5662.5,5662.5,5662.5,2009-09-14
294,2009,377.0,377.0,377.0,2009-07-15
295,2009,377.0,377.0,377.0,2009-06-11
296,2009,2262.0,2262.0,2262.0,2009-09-23
297,2009,265.0,265.0,265.0,2009-04-02
298,2009,8305.0,8305.0,8305.0,2009-03-18
299,2009,1006004.5,1006004.5,1006004.5,2009-06-17
300,2009,239853.24,239853.24,332703.26,2009-01-16
301,2009,1060.0,1060.0,1060.0,2009-06-08
302,2009,530.0,530.0,530.0,2009-02-03
303,2009,2265.0,2265.0,2265.0,2009-03-27
304,2009,1508.0,1508.0,1508.0,2009-08-31
305,2009,377.0,377.0,377.0,2009-04-02
306,2009,3397.5,3397.5,3397.5,2009-06-22
307,2009,310096.2,310096.2,310096.2,2009-07-23
308,2009,377.5,377.5,377.5,2009-03-03
309,2009,754.0,754.0,754.0,2009-08-21
310,2009,332.0,332.0,332.0,2009-01-26
311,2009,754.0,754.0,754.0,2009-08-11
312,2009,7550.0,7550.0,7550.0,2009-06-18
313,2009,11497.0,11497.0,11497.0,2009-07-08
314,2009,37750.0,37750.0,37750.0,2009-09-02
315,2009,265.0,265.0,265.0,2009-08-04
316,2009,119822.42,119822.42,119822.42,2009-07-21
317,2009,266400.0,266400.0,694614.0,2009-01-30
318,2009,530.0,530.0,530.0,2009-08-24
319,2009,14837.12,14837.12,14837.12,2009-04-03
320,2009,1131.0,1131.0,1131.0,2009-04-07
321,2009,1600266.88,1600266.88,1600266.88,2009-02-24
322,2009,527169.36,527169.36,672477.14,2009-07-15
323,2009,10481.86,10481.86,10481.86,2009-04-13
324,2009,3770.0,3770.0,3770.0,2009-04-23
325,2009,755.0,755.0,755.0,2009-04-13
326,2009,377.0,377.0,377.0,2009-03-03
327,2009,144000.0,144000.0,144000.0,2009-06-26
328,2009,5909.32,5909.32,5909.32,2009-09-04
329,2009,12518.48,12518.48,12518.48,2009-09-29
330,2009,12385.25,12385.25,12385.25,2009-06-30
331,2009,1510.0,1510.0,1510.0,2009-05-18
332,2009,199511.31,199511.31,199511.31,2009-09-24
333,2009,377.0,377.0,377.0,2009-09-07
334,2009,32047.42,32047.42,32047.42,2009-06-18
335,2009,7550.0,7550.0,7550.0,2009-01-26
336,2009,755.0,755.0,755.0,2009-04-27
337,2009,1131.0,1131.0,1131.0,2009-04-28
338,2009,18693.93,18693.93,18693.93,2009-09-26
339,2009,4072.46,4072.46,4072.46,2009-04-15
340,2009,377.0,377.0,377.0,2009-09-23
341,2009,5300.0,5300.0,5300.0,2009-06-19
342,2009,910864.0,910864.0,910864.0,2009-08-21
343,2009,1132.5,1132.5,1132.5,2009-05-20
344,2009,7660.35,7660.35,23580.56,2009-03-12
345,2009,7587.91,7587.91,7587.91,2009-03-06
346,2009,1497714.62,1497714.62,5990858.49,2009-02-26
347,2009,377.0,377.0,377.0,2009-01-14
348,2009,5572.5,5572.5,5572.5,2009-09-28
349,2009,925003.85,925003.85,9353949.0,2009-02-25
350,2009,41581.42,41581.42,41581.42,2009-08-20
351,2009,755.0,755.0,755.0,2009-03-31
352,2009,294419.2,294419.2,2235899.2,2009-03-26
353,2009,30802.69,30802.69,30802.69,2009-06-25
354,2009,283346.83,283346.83,283346.83,2009-05-05
355,2009,10600.0,10600.0,10600.0,2009-06-02
356,2009,3775.0,3775.0,3775.0,2009-01-26
357,2009,2262.0,2262.0,2262.0,2009-09-23
358,2009,1093.0,1093.0,1093.0,2009-02-27
359,2009,3775.0,3775.0,3775.0,2009-09-21
360,2009,1660.0,1660.0,1660.0,2009-03-05
361,2009,377.0,377.0,377.0,2009-08-17
362,2009,265.0,265.0,265.0,2009-09-17
363,2009,377.5,377.5,377.5,2009-07-20
364,2009,1887.5,1887.5,1887.5,2009-08-28
365,2009,1310.0,1310.0,1310.0,2009-03-04
366,2009,377.0,377.0,377.0,2009-05-11
367,2009,9437.5,9437.5,9437.5,2009-04-27
368,2009,377.0,377.0,377.0,2009-04-10
369,2009,30805.2,30805.2,30805.2,2009-09-18
370,2009,106988.89,106988.89,106988.89,2009-07-21
371,2009,755.0,755.0,755.0,2009-02-09
372,2009,996.0,996.0,996.0,2009-05-19
373,2009,6357.68,6357.68,6357.68,2009-08-14
374,2009,14262200.0,14262200.0,14262200.0,2009-06-29
375,2009,6597.08,6597.08,6597.08,2009-02-16
376,2009,848.5,848.5,848.5,2009-06-05
377,2009,57062.09,57062.09,57062.09,2009-08-25
378,2009,83104.39,83104.39,0.0,2009-09-01
379,2009,316.0,316.0,316.0,2009-09-29
380,2009,332.0,332.0,332.0,2009-02-18
381,2009,2639.0,2639.0,2639.0,2009-08-11
382,2009,377.5,377.5,377.5,2009-04-29
383,2009,2021378.56,2021378.56,10514779.93,2009-05-08
384,2009,58885.55,58885.55,58885.55,2009-09-29
385,2009,18326.0,18326.0,18326.0,2009-03-09
386,2009,41454.0,41454.0,41454.0,2009-09-01
387,2009,1328.0,1328.0,1328.0,2009-02-05
388,2009,1132.5,1132.5,1132.5,2009-04-20
389,2009,3775.0,3775.0,3775.0,2009-06-29
390,2009,3020.0,3020.0,3020.0,2009-04-29
391,2009,377.0,377.0,377.0,2009-05-28
392,2009,377.0,377.0,377.0,2009-03-04
393,2009,265.0,265.0,265.0,2009-04-02
394,2009,1131.0,1131.0,1131.0,2009-09-02
395,2009,8912886.0,2587139.05,28455269.0,2009-09-17
396,2009,965.5,965.5,965.5,2009-08-19
397,2009,70650.97,70650.97,70650.97,2009-04-10
